id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5210927,iKlektik House Chicago / Robin,8813383,Mindy + Tony,,West Town,41.89329,-87.68574,Entire home/apt,114,2,482,2024-06-09,4.31,3,185,46,R24000113220
5231461,Modern/Spacious 2BR/2BA West Town,27074701,Charissa,,West Town,41.90168,-87.693,Entire home/apt,170,3,239,2024-06-17,2.14,1,301,24,R21000072504
5283285,The Flower Power Room,22215535,Matt,,Lower West Side,41.85707,-87.67082,Private room,25,32,155,2018-06-27,1.36,3,41,0,City registration pending
5297152,Fresh and Sunny Bed & Bath by UofC,9499059,Bennett,,Hyde Park,41.79755783081055,-87.59791564941406,Private room,82,3,226,2024-05-26,2.01,3,264,13,R17000014580
5320006,Casita De Luz,7723412,J,,Near West Side,41.86971,-87.65939,Entire home/apt,90,50,32,2021-01-15,0.29,1,9,0,City registration pending
5321981,Inspiring Studio in Art Gallery,24676863,William,,West Town,41.9086,-87.67684,Private room,200,32,55,2023-12-05,0.49,3,57,3,City registration pending
5359984,"3 BR condo with great views, free WIFI and parking",4698713,Mark Y Toñi,,West Town,41.89558,-87.66585,Entire home/apt,225,3,121,2024-04-16,1.08,1,182,8,R20000058242
5406217,Urban Luxury 1BR/2BA Logan Square Condo w/Garage,28022926,Bryan,,Logan Square,41.92723,-87.70807,Entire home/apt,200,2,237,2024-05-26,2.12,1,299,20,R24000114764
5496659,Beige room area South Shore Airbnb,28501460,Delia,,South Shore,41.76477,-87.57182,Private room,20,32,104,2024-03-02,0.92,7,122,2,City registration pending
5537682,The Rectory,28715964,David,,Lincoln Park,41.92032,-87.66153,Entire home/apt,224,2,256,2024-06-01,2.33,2,196,32,R19000037446
5537683,The Chapel: Great family spot,28715964,David,,Lincoln Park,41.92061,-87.66324,Entire home/apt,275,2,244,2024-06-06,2.16,2,207,22,R23000097194
5571262,Sunny Tri Level,12549865,Holly,,West Town,41.89738,-87.67208,Entire home/apt,321,3,147,2024-06-13,1.31,1,224,26,R22000094323
5576190,South Shore Bungalow - Rust Red Work Out Room,28501460,Delia,,South Shore,41.76302,-87.57186,Private room,25,32,59,2022-05-28,0.53,7,308,0,City registration pending
5576191,South Shore bungalow - Yellow Room,28501460,Delia,,South Shore,41.76257,-87.57225,Private room,26,32,37,2023-07-02,0.35,7,299,1,R18000036975
5645139,Vintage Uptown Loft with Queen Bed & Private Bath,13195824,Amy,,Uptown,41.97188,-87.65779,Private room,102,3,208,2024-06-16,1.88,1,329,17,R23000104277
5785758,Medical Student Housing,250400,Dan,,South Lawndale,41.85253,-87.69803,Private room,,25,30,2024-04-30,0.28,5,19,3,R18000036296
5804791,Medical School Housing A,250400,Dan,,South Lawndale,41.8544,-87.69845,Private room,65,25,28,2024-06-04,0.26,5,38,4,R18000036296
5805991,Medical Student Housing,250400,Dan,,South Lawndale,41.85436,-87.69681,Private room,70,25,26,2023-10-23,0.27,5,85,3,R18000036296
5847065,Goose & Fox Hostel Lincoln Park,30356781,Greg,,Lincoln Park,41.91775,-87.65508,Private room,69,2,238,2024-06-10,2.14,2,45,25,R17000013070
5850897,"McCormick Place, Downtown Chicago, Museums, & more",22588707,Brandon,,Grand Boulevard,41.81436,-87.61289,Private room,148,2,35,2024-06-04,0.32,1,363,4,R21000073179
5851115,Great Place Garfield Park 3 Bedroom,28811949,Seth & Mike,,West Garfield Park,41.87669,-87.72146,Entire home/apt,104,32,498,2024-06-03,4.44,1,300,20,R17000013966
5861971,Funky & Cozy Designer Apt/ 4 stops from Downtown,11710780,Robert,,East Garfield Park,41.8867,-87.70783,Entire home/apt,64,3,212,2024-06-18,1.93,2,170,29,R21000075462
5874798,SuperHost with Private bedroom/bath/entry Lakeview,30507677,Dorene,,Lake View,41.93955,-87.65904,Private room,99,2,317,2024-06-02,2.84,1,304,25,R17000013387
5933672,Luxurious 2br 2ba Condo RIVER WEST,3965428,Dominic,,Near West Side,41.88668,-87.64266,Entire home/apt,185,360,0,,,55,365,0,
5980645,Sidh  Arya,31050127,Siddharth,,Hermosa,41.93483,-87.74135,Private room,40,4,62,2024-05-25,0.56,1,304,5,R23000108438
5981743,Comfortable room in Art Gallery ((:,24676863,William,,West Town,41.90943908691406,-87.6762924194336,Private room,160,1,49,2024-03-15,0.44,3,322,10,R18000032029
5996942,"Spacious suite near CTA/orange line, McKinley Park",30836055,Ying,,Mckinley Park,41.82983,-87.67544,Entire home/apt,52,3,171,2024-06-03,1.74,1,287,22,R19000051601
6014128,Extended Stay Business  2 bedroom 2 Bath Balcony,3965428,Dominic,,Loop,41.87132,-87.63146,Entire home/apt,200,360,1,2015-07-17,0.01,55,365,0,City registration pending
6039038,05b. Queen futon in Common Room,2907254,Joseph,,West Ridge,42.01653,-87.68788,Shared room,19,1,184,2024-06-18,1.66,14,79,11,R21000075752
6045978,Trendy Roscoe Village 3BD/2B w/fireplace~ Cozy HM2,683529,Joe,,North Center,41.94614,-87.68242,Entire home/apt,287,2,44,2024-06-02,0.41,23,320,11,R20000057497
6051322,"1BD/1BA steps away from local shops, entertainment",24705990,Rick,,Uptown,41.97183,-87.66786,Private room,,2,6,2022-08-23,0.05,9,154,0,2328618
6053269,Vibrant Andersonville 2BR w/ in-unit laundry,24705990,Rick,,Uptown,41.97106,-87.66777,Private room,,5,20,2021-08-01,0.18,9,174,0,2328618
6057908,Lakeview Charmer -with parking!,31673,Cathy,,Lake View,41.93886,-87.65391,Entire home/apt,157,2,403,2024-06-03,3.65,1,279,46,R21000069919
6065318,"NEW,Roscoe Village,Cubs, Pvt Bath, Pvt Entrance",20374823,Nick,,North Center,41.94815,-87.68459,Private room,90,2,524,2024-06-17,4.71,1,255,73,R24000115037
6086065,Cozy 2 Bedroom Garden Apartment,27005011,Doug,,Logan Square,41.92428,-87.69222,Entire home/apt,77,32,82,2022-10-11,0.76,1,281,0,R18000033615
6103492,Entire 2 bdrm english garden apt*block 2trains&I94,31669178,Donna,,Portage Park,41.95993,-87.74773,Entire home/apt,68,32,16,2023-06-19,0.14,7,293,0,R18000024333
6133986,Cool loft in Fulton Market District / West Loop,4267791,Levar,,Near West Side,41.88796,-87.6445,Entire home/apt,279,32,45,2021-10-24,0.41,1,90,0,City registration pending
6153674,Trendy Roscoe Village 3BD/2BA w/Fireplace Cozy VN1,683529,Joe,,North Center,41.94078,-87.68115,Entire home/apt,260,32,40,2023-10-01,0.40,23,353,4,2083762
6363328,Cozy studio in amazing location,33154489,Sara,,Lincoln Square,41.96857,-87.69577,Entire home/apt,100,3,237,2024-05-27,2.19,1,306,20,R22000079565
6365974,Cute cozy cottage 20 min 2 downtown,31669178,Donna,,Hegewisch,41.65064,-87.54074,Entire home/apt,129,32,44,2024-05-18,0.40,7,174,3,R18000024333
